기출년도,과목,문제,보기1,보기2,보기3,보기4,보기5,정답,해설,이미지,이미지정렬,검증됨
"2020","사회복지학개론","1. 윌렌스키(Wilensky)와 르보(Lebeaux)의 제도적 개념에 대한 설명으로 옳은 것은?","1. 제도적 개념에서는 가족 또는 시장 같은 다른 사회제도의 기능이 원활하게 수행되지 못할 때 사회복지 제도를 활용하는 것으로 본다.","2. 제도적 개념에서의 사회복지는 보충적, 일시적, 대체적 성격을 지닌다.","3. 제도적 개념에서는 사회복지가 그 사회의 필수적이고 정상적인 제일선(first line)의 기능을 수행하는 것으로 이해한다.","4. 제도적 개념에서의 사회복지는 대상범위를 기준으로 볼 때 선별적 사회복지와 연결되어있다.","","3","정답: ③

[해설]
윌렌스키와 르보(Wilensky & Lebeaux)는 사회복지의 개념을 잔여적(residual) 관점과 제도적(institutional) 관점으로 구분하였습니다.
- 제도적 개념은 사회복지를 현대 산업사회에서 가족이나 시장경제가 제 기능을 하더라도 충족되지 않는 욕구가 발생하는 것이 정상적이라고 보며, 사회복지가 사회를 유지하는 데 필수적이고 정상적인 '제일선(first line)'의 기능을 수행한다고 봅니다.

[오답 분석]
① 잔여적 개념에 대한 설명입니다. 잔여적 개념은 가족이나 시장이 기능을 수행하지 못할 때 임시적으로 개입하는 것을 의미합니다.
② 잔여적 개념에 대한 설명입니다. 제도적 개념은 보편적이고 지속적인 성격을 갖습니다.
④ 선별적 사회복지와 연결되는 것은 잔여적 개념입니다. 제도적 개념은 보편적 사회복지와 연결됩니다.","","center","true"
"2020","사회복지학개론","2. 우리나라 사회보장제도 가운데 주요 재원조달방식이 다른 것은?","1. 국민기초생활보장제도","2. 국민연금제도","3. 건강보험제도","4. 고용보험제도","","1","정답: ①

[해설]
국민기초생활보장제도는 '공공부조'에 해당하며, 주요 재원은 국가의 일반 조세(세금)입니다.
반면, ②, ③, ④는 '사회보험' 제도로서 주된 재원은 가입자와 고용주가 부담하는 기여금(보험료)입니다.

[오답 분석]
② 국민연금제도: 사회보험 (기여금 중심)
③ 건강보험제도: 사회보험 (기여금 중심)
④ 고용보험제도: 사회보험 (기여금 중심)","","center","true"
"2020","사회복지학개론","3. 사회복지실천 방법 중 직접실천에 해당하는 것은?","1. 독거어르신 도시락 배달 연계","2. 요보호아동 지원 프로그램 개발","3. 정신장애인 취업적응 훈련 실시","4. 장애인 편의시설 확보를 위한 시민공청회","","3","정답: ③

[해설]
직접실천(Direct Practice)은 사회복지사가 클라이언트(개인, 가족, 집단)와 직접 대면하여 상담, 치료, 교육, 훈련 등의 서비스를 제공하는 활동을 말합니다. '정신장애인 취업적응 훈련 실시'는 클라이언트와 직접 상호작용하며 서비스를 제공하는 활동이므로 직접실천에 해당합니다.

[오답 분석]
① 자원 연계는 간접실천(중개)의 성격이 강합니다.
② 프로그램 개발은 기획 및 행정적 활동으로 간접실천에 해당합니다.
④ 시민공청회는 옹호 및 정책 활동으로 간접실천의 영역에 속합니다.","","center","true"
"2020","사회복지학개론","4. 19세기 인보관운동(settlement house movement)에 대한 설명으로 옳은 것만을 모두 고르면?
ㄱ. 문제의 원인을 개인에게서 찾고자 하였다.
ㄴ. 집단사회사업과 지역사회복지 발전의 기초가 되었다.
ㄷ. 문제의 원인을 사회적 환경에서찾고자하였다.
ㄹ. 원조의중복을막기위해빈민의생활상태를조사하였다.","1. ㄱ, ㄷ","2. ㄱ, ㄹ","3. ㄴ, ㄷ","4. ㄴ, ㄹ","","3","정답: ③ (ㄴ, ㄷ)

[해설]
인보관 운동(Settlement House Movement)은 빈곤의 원인을 개인의 도덕적 결함이 아닌 '사회적 환경'과 '구조적 문제'에서 찾았으며(ㄷ), 사회개혁을 추구했습니다. 또한 빈민들과 함께 거주하며 활동했기에 '집단사회사업'과 '지역사회복지'의 시초가 되었습니다(ㄴ).

[오답 분석]
ㄱ. 빈곤의 원인을 개인에게서 찾은 것은 자선조직협회(COS)의 관점입니다.
ㄹ. 원조의 중복을 막기 위해 우애방문원을 통해 조사를 실시한 것 또한 자선조직협회(COS)의 활동입니다.","","center","true"
"2020","사회복지학개론","5. 소득재분배에 대한 설명으로 옳지 않은 것은?","1. 수직적 소득재분배는 고소득층에서 저소득층으로 소득이 이전되는 것을 의미한다.","2. 수평적 소득재분배는 동일 계층 내에서 소득이 이전되는 것을 의미한다.","3. 세대 간의 소득재분배는 서로 다른 세대 간에 소득이 이전되는 것을 의미한다.","4. 시간적 소득재분배는 자녀세대의 소비를 위해서 자신의 미래 소비를 포기하고 소득을 이전하는 것을 의미한다.","","4","정답: ④

[해설]
시간적 소득재분배(또는 시기적 재분배)는 한 개인의 생애주기 내에서 소득을 재분배하는 것을 의미합니다. 즉, 젊고 소득이 있는 시기의 소득을 적립하여, 은퇴 후나 질병 등으로 소득이 없는 시기에 사용하는 것(예: 연금제도)을 말합니다. ④번 내용은 자녀 세대의 소비를 위해 자신의 소비를 포기한다는 내용으로, 이는 사적 이전이나 세대 간 이전을 잘못 설명한 것입니다.

[오답 분석]
① 수직적 재분배: 고소득층에서 저소득층으로의 이전이 맞습니다.
② 수평적 재분배: 동일 소득 계층 내에서 위험 발생 여부(건강한 사람→아픈 사람)나 가족 상황(독신→다자녀) 등에 따라 소득이 이전되는 것을 의미합니다.
③ 세대 간 재분배: 현재 근로세대가 은퇴세대를 부양하는 부과방식 연금처럼 세대 간에 소득이 이전되는 것을 의미합니다.","","center","true"
"2020","사회복지학개론","6. 「국민기초생활 보장법」상 사회복지시설에 해당하는 것은?","1. 사회복지관","2. 지역자활센터","3. 노숙인종합지원센터","4. 아동일시보호시설","","2","정답: ②

[해설]
「국민기초생활 보장법」 제16조에 따라 '지역자활센터'는 수급자 및 차상위자의 자활지원을 위해 설치된 시설로, 동 법에서 규정하는 사회복지시설에 해당합니다.

[오답 분석]
① 사회복지관: 「사회복지사업법」
③ 노숙인종합지원센터: 「노숙인 등의 복지 및 자립지원에 관한 법률」
④ 아동일시보호시설: 「아동복지법」","","center","true"
"2020","사회복지학개론","7. 이용권(바우처)의 장점이 아닌 것은?","1. 서비스 공급자 간 경쟁을 촉발하여 서비스의 질을 높이는 효과를 거둘 수 있다.","2. 현물급여에 비해 서비스 수요자의 ‘소비자 선택권’을 보장할 수 있다.","3. 사회 내의 불이익집단 또는 특별히 사회에 공헌한 사람들에게 더 많은 기회를 제공할 수 있다.","4. 서비스 사용 용도를 명시하고 있어 현금급여에 비해 정책 목표를 달성하는 데 용이하다.","","3","정답: ③

[해설]
③번의 '사회 내의 불이익집단 또는 특별히 사회에 공헌한 사람들에게 더 많은 기회를 제공할 수 있다'는 설명은 사회적 할당의 원칙 중 '보상'이나 '진단적 구분' 등 선별주의적 자격 요건과 관련된 설명이거나 기회평등 정책(예: 할당제)의 장점에 가깝습니다. 바우처 제도 자체의 고유한 장점이라기보다는 급여 대상 선정 기준에 관한 내용입니다. 바우처는 '경쟁 유도', '소비자 선택권', '정책 목표 달성 용이(목적성)' 등이 주된 장점입니다.

[오답 분석]
① 공급자 간 경쟁을 통해 서비스 질 향상 가능 (바우처의 장점)
② 현물급여보다 소비자 선택권 확대 (바우처의 장점)
④ 사용 용도가 제한되어 있어 현금보다 정책 목표 달성에 용이 (바우처의 장점)","","center","true"
"2020","사회복지학개론","8. 사회복지실천에서 성인지관점(gender-sensitive perspective)에 대한 설명으로 옳지 않은 것은?","1. 가족 내 성역할 분업을 강조하는 관점이다.","2. 성차별로 인한 문제를 분석하거나 개입할 때 사용할 수 있는 관점이다.","3. 여성과 남성은 생물학적․사회문화적 경험의 차이로 서로 다른 이해나 요구를 가진다고 보는 관점이다.","4. 정책이나 개입이 여성과 남성에게 미치는 효과를 평가하고 그것을 반영하도록 하는 관점이다.","","1","정답: ①

[해설]
성인지 관점은 사회적으로 구성된 성역할 고정관념이나 불평등을 인지하고 이를 개선하려는 관점입니다. 따라서 ①번처럼 가족 내 전통적인 성역할 분업을 '강조'하는 것이 아니라, 오히려 성역할 고정관념에 도전하고 이를 해체하거나 재구성하려는 입장을 취합니다.

[오답 분석]
② 성차별 문제를 분석하고 개입하는 데 유용함.
③ 남녀의 경험 차이로 인한 이해와 요구의 차이를 인정함.
④ 정책이 성별에 미치는 영향을 평가(성별영향평가 등)하여 반영함.","","center","true"
"2020","사회복지학개론","9. 사례관리(case management)에 대한 설명으로 옳지 않은 것은?","1. 다양하고 복잡한 욕구를 가진 클라이언트가 주요 대상이다.","2. 클라이언트의 욕구충족을 위해 지역사회 자원을 연계시킨다.","3. 사례관리자는 사정자, 조정자, 중개자, 평가자, 옹호자 등 복합적 기능을 수행할 수 있다.","4. 사례개입의 목표달성을 위해서라면 언제든 클라이언트의 자기결정을 제한하는 것이 정당하다.","","4","정답: ④

[해설]
사회복지 실천 윤리에서 클라이언트의 '자기결정권'은 매우 중요한 가치입니다. 사례개입의 목표 달성을 위해서라고 해도, 클라이언트의 자기결정을 함부로 제한하는 것은 정당화될 수 없습니다. 자기결정권 제한은 클라이언트가 자신이나 타인에게 심각한 해를 입힐 위험이 있는 등 극히 예외적인 경우에만 제한적으로 허용됩니다.

[오답 분석]
① 복합적인 욕구를 가진 클라이언트가 주 대상임.
② 지역사회 자원 연계 및 조정은 핵심 기능임.
③ 사례관리자는 다양한 역할(조정자, 중개자, 옹호자 등)을 수행함.","","center","true"
"2020","사회복지학개론","10. 「장애인고용촉진 및 직업재활법」상 사업주의 장애인 고용 의무를 상시 ‘몇 명’ 이상의 근로자를 고용하는 사업주로 규정하고 있는가?","1. 10명","2. 30명","3. 50명","4. 100명","","3","정답: ③

[해설]
「장애인고용촉진 및 직업재활법」 제28조(사업주의 장애인 고용 의무)에 따르면, 상시 50명 이상의 근로자를 고용하는 사업주는 근로자의 일정 비율 이상을 장애인으로 고용하여야 한다고 규정하고 있습니다.
(참고: 장애인 고용부담금 납부 의무는 상시 100명 이상인 사업주에게 적용됩니다.)","","center","true"
