기출년도,과목,문제,보기1,보기2,보기3,보기4,보기5,정답,해설,이미지,이미지정렬,검증됨
"2024","사회복지학개론","1. 자원봉사의 특성에 해당하는 것만을 모두 고르면?
ㄱ. 자발성     ㄴ. 이타성      ㄷ.공익성      ㄹ.보상성","1. ㄱ, ㄴ","2. ㄷ, ㄹ","3. ㄱ, ㄴ, ㄷ","4. ㄱ, ㄷ, ㄹ","","3","자원봉사의 4대 특성은 자발성, 이타성, 공익성(사회성), 무보수성입니다. 'ㄹ. 보상성'은 무보수성에 위배되므로 특성에 해당하지 않습니다. 따라서 옳은 것은 ㄱ, ㄴ, ㄷ입니다.","","center","true"
"2024","사회복지학개론","2. 사회복지조직의 특성이 아닌 것은?","1. 사회복지조직의 행정은 몰가치성의 원리에 기초하여 수행된다.","2. 사회복지조직의 목표는 일반적으로 명확하지 않으며 추상적이다.","3. 사회복지조직에서 클라이언트에게 활용하는 기술은 획일적이지 않다.","4. 사회복지조직은 사회복지사와 클라이언트 간의 상호작용을 강조한다.","","1","사회복지조직은 클라이언트의 가치와 도덕적 판단이 개입되는 활동을 하므로, '몰가치성(value-neutrality)'이 아닌 '가치 지향성'을 가집니다. 행정 수행 과정에서도 가치 판단이 중요하게 작용합니다.

② 목표가 추상적이고 모호한 경우가 많습니다.
③ 인간을 대상으로 하므로 개별화된 기술이 필요하여 획일적이지 않습니다.
④ 사회복지사와 클라이언트의 관계 및 상호작용이 서비스의 핵심입니다.","","center","true"
"2024","사회복지학개론","3. 사회복지의 잔여적 관점과 제도적 관점에 대한 설명으로 옳지 않은 것은?","1. 잔여적 관점에서는 사회복지 대상자를 병리적인 존재로 간주한다.","2. 제도적 관점에서는 사회복지대상을 요보호 대상자에 국한하지 않고, 모든 국민으로 간주한다.","3. 잔여적 관점에서는 사회복지의 제공을 국민의 권리가 아닌 시혜로 간주한다.","4. 제도적 관점에서는 사회복지제도를 위기 발생 시에 그 기능을 수행하는 일시적, 보충적인 제도로 간주한다.","","4","제도적 관점(Institutional Perspective)은 사회복지를 현대 사회에서 정상적이고 필수적인 기능(제일선적 기능)을 수행하는 제도로 봅니다. '위기 발생 시에 그 기능을 수행하는 일시적, 보충적인 제도'로 간주하는 것은 잔여적 관점(Residual Perspective)에 대한 설명입니다.","","center","true"
"2024","사회복지학개론","4. 사회복지실천의 종결단계에서 사회복지사가 수행하는 역할에 대한 설명으로 옳지 않은 것은?","1. 이별에 대한 정서적 반응 다루기","2. 개입을 통해 획득한 성과를 유지할 수 있는 전략 개발하기","3. 적절한 종결시기 결정하기","4. 클라이언트와의 관계 형성하기","","4","클라이언트와의 관계 형성(Rapport building)은 실천 과정의 초기 단계인 '접수 및 자료수집 단계' 또는 '초기 단계'의 주요 과업입니다. 종결 단계에서는 이별에 대한 정서 다루기, 성과 유지 전략 수립, 의뢰, 사후관리 계획 등을 수행합니다.","","center","true"
"2024","사회복지학개론","5. 「기초연금법」상 기초연금제도에 대한 설명으로 옳지 않은 것은?","1. 국가와 지방자치단체는 기초연금의 지급에 필요한 비용을 부담할 수 있도록 재원을 조성하여야 한다.","2. 보건복지부장관은 선정기준액을 정하는 경우, 65세 이상인 사람 중 기초연금 수급자가 100분의 30 수준이 되도록 한다.","3. 기초연금으로 지급받은 금품은 압류할 수 없다.","4. 부부 모두 기초연금 수급권자인 경우에는 각각의 기초연금액에서 기초연금액의 20 %를 감액하여 지급한다.","","2","보건복지부장관이 선정기준액을 정하는 기준은 65세 이상인 사람 중 기초연금 수급자가 100분의 70(70%) 수준이 되도록 하는 것입니다. (100분의 30 수준이 아님)

① 국고와 지방비 매칭 펀드 방식으로 재원을 조성합니다.
③ 수급권 보호를 위해 압류가 금지됩니다.
④ 부부 감액 제도로, 부부 모두 수급자인 경우 각각의 산정된 연금액에서 20%를 감액합니다.","","center","true"
"2024","사회복지학개론","6. 에스핑 안데르센(Esping-Andersen)의 복지국가 유형에 대한 설명으로 옳지 않은 것은?","1. 탈상품화의 정도는 사회민주주의 복지국가에서 가장 높다.","2. 자유주의 복지국가에서는 공공부조의 비중이 상대적으로 높게 나타난다.","3. 조합주의(보수주의) 복지국가에서는 사회보험을 강조한다.","4. 계층화의 정도는 조합주의 복지국가보다 사회민주주의 복지국가에서 더 높다.","","4","계층화(Stratification)의 정도는 조합주의(보수주의) 복지국가에서 가장 높게 나타납니다. 사회민주주의 복지국가는 보편주의 원칙을 통해 계층화 효과를 최소화하므로, 계층화 정도는 사회민주주의보다 조합주의 복지국가에서 더 높습니다. 따라서 ④번 설명은 반대로 서술되어 틀렸습니다.","","center","true"
"2024","사회복지학개론","7. 사회복지 대상자 선정원칙에 대한 설명으로 옳은 것은?","1. 선별주의는 모든 사람을 급여 대상자로 선정하는 방식이다.","2. 보편주의는 복지 수혜자에게 낙인(stigma)을 남긴다.","3. 선별주의는 보편주의에 비해 행정비용이 더 소요된다.","4. 보편주의 복지는 선별주의 복지에 비해 제도적 안정성과 지속성이 취약하다.","","3","선별주의(Selectivism)는 자산조사(Means test) 과정을 거쳐야 하므로 급여 대상자를 선별하는 데 행정적 절차와 비용이 보편주의보다 더 많이 소요됩니다.

① 선별주의는 특정 조건(주로 저소득)을 갖춘 사람만 선정합니다.
② 낙인(Stigma)은 선별주의에서 주로 발생합니다. 보편주의는 낙인을 예방합니다.
④ 보편주의는 중산층을 포함한 넓은 지지 기반을 가지므로 제도적 안정성과 지속성이 선별주의보다 높습니다.","","center","true"
"2024","사회복지학개론","8. 다음에서 설명하고 있는 로스만(Rothman)의 지역사회복지실천 모델은?
○ 지역사회복지의 목표를 과업 중심에 둔다.
○ 문제해결을 위해 전문가가 합리적이고 과학적인 대안을 
제시하는 데 초점을 둔다.
○ 사회복지사는 분석가, 사실 수집가, 프로그램 실행자 등의 
역할을 수행한다.","1. 지역사회개발모델","2. 사회계획모델","3. 사회행동모델","4. 사회운동모델","","2","제시된 내용은 '사회계획(Social Planning) 모델'의 특징입니다. 이 모델은 비행, 주택, 정신건강 등 구체적인 사회문제 해결을 위한 기술적(technical) 과정을 강조하며, 과업 중심의 목표를 가집니다. 사회복지사는 전문가로서 데이터를 분석하고 합리적인 계획을 수립하는 역할을 합니다.","","center","true"
"2024","사회복지학개론","9. 다음에서 설명하고 있는 의사결정 기법은?
○ 여러 전문가로부터 익명으로 의견을 구해 결과를 도출하는 
의사결정 방법이다.
○ 동일한 전문가를 대상으로 설문을 여러 단계에 걸쳐 실시한다.
○ 시간이 오래 걸려 신속한 의사결정이 필요할 경우에는 
활용하기 어렵다.","1. 델파이 기법(delphi technique)","2. 초점집단 인터뷰(focus group interview)","3. 명목집단 기법(nominal group technique)","4. 브레인스토밍(brainstorming)","","1","델파이 기법(Delphi Technique)에 대한 설명입니다. 델파이 기법은 전문가 패널을 대상으로 익명의 우편/설문을 반복 시행하여 합의점에 도달하는 예측 및 의사결정 방법입니다. 익명성이 보장되나 시간이 오래 걸린다는 단점이 있습니다.","","center","true"
"2024","사회복지학개론","10. 사회복지실천에서 활용하는 집단의 유형에 대한 설명으로 옳지 않은 것은?","1. 교육집단(educational group)은 기술과 정보를 제공하는 데 목적을 둔다.","2. 사회화집단(socialization group)은 사회적으로 수용가능한 행동을 습득하도록 돕는 데 목적을 둔다.","3. 성장집단(growth group)은 개인적인 문제를 치료하는 데 목적을 둔다.","4. 지지집단(support group)은 스트레스를 주는 생활 사건에 효과적으로 대처하도록 원조하는 데 목적을 둔다.","","3","성장집단(Growth Group)은 병리적 치료보다는 집단 구성원의 자아실현, 잠재력 개발, 인식 증진 등을 목적으로 합니다. '개인적인 문제를 치료하는 데 목적'을 두는 것은 '치료집단(Therapy Group)'에 대한 설명입니다.","","center","true"
