기출년도,과목,문제,보기1,보기2,보기3,보기4,보기5,정답,해설,이미지,이미지정렬,검증됨
"2021","사회복지학개론","1. 사회복지 대상자 선정 원칙인 선별주의와 보편주의에 대한 설명으로 옳지 않은 것은?","1. 선별주의는 보편주의에 비해 상대적으로 소득재분배의 효과가 크다.","2. 선별주의에는 국민기초생활보장제도, 장애연금 등이 포함된다.","3. 보편주의는 일정 범주에 속하는 모든 사람에게 사회적 권리로 급여를 제공한다.","4. 보편주의는 선별주의에 비해 수급자 선정을 위한 행정적 비용이 적게 든다.","","2","② 선별주의(Selectivism)는 자산조사 등을 통해 결핍이 확인된 특정 계층에게만 급여를 제공하는 원칙입니다. '국민기초생활보장제도'는 대표적인 선별주의 제도이지만, '장애연금(Disability Pension)'은 일반적으로 국민연금(사회보험)의 급여 항목 중 하나로, 기여를 기반으로 한 보편주의적(제도적) 성격을 갖습니다. (만약 '장애인연금'을 의미했더라도, 학문적으로 사회보험 용어인 '장애연금'과 공공부조를 섞어 쓴 것은 오답의 근거가 됩니다.)

[오답 분석]
① 선별주의는 저소득층에게 자원을 집중하므로 비용 대비 소득재분배 효과(목표 효율성)가 상대적으로 큽니다.
③ 보편주의는 사회적 권리(시민권)에 입각하여 일정 요건을 갖춘 모든 국민에게 급여를 제공합니다.
④ 보편주의는 자산조사 과정이 없거나 간소하므로 수급자 선정을 위한 행정적 비용이 선별주의에 비해 적게 듭니다.","","center","true"
"2021","사회복지학개론","2. 사회복지실천에서 면접에 대한 설명으로 옳지 않은 것은?","1. 원활한 면접을 진행하기 위해서는 사회복지사와 클라이언트 간의 라포(rapport) 형성이 중요하다.","2. 초기에는 개방형 질문을 통해서 클라이언트와 대화를 이끌어가는 것이 필요하며, 차츰 폐쇄형 질문을 해야 한다.","3. 클라이언트가 질문에 대하여 침묵하는 것 역시 일종의 의사표현이라는 것을 이해해야 한다.","4. 사회복지사는 면접 시 클라이언트의 언어적 표현과 함께 비언어적 표현에도 관심을 가져야 한다.","","2","② 면접 초기에는 개방형 질문을 사용하여 클라이언트가 자유롭게 이야기하도록 돕고, 필요한 경우 구체적인 정보를 얻기 위해 폐쇄형 질문을 사용하는 '깔때기 기법'이 활용될 수 있습니다. 그러나 '차츰 폐쇄형 질문을 해야 한다'는 표현은 면접의 진행 방향을 폐쇄적으로 고정시키거나, 후반부에는 폐쇄형 질문만 사용해야 한다는 오해를 불러일으킬 수 있어 옳지 않습니다. 사회복지 실천에서는 클라이언트의 자기결정권과 표현을 존중하기 위해 전 과정에서 개방형 질문이 적절히 활용되는 것이 바람직합니다.

[오답 분석]
① 라포(rapport) 형성은 신뢰 관계 구축을 위해 필수적입니다.
③ 침묵도 클라이언트의 생각, 감정, 저항 등을 나타내는 비언어적 의사소통입니다.
④ 언어적 표현뿐만 아니라 표정, 자세 등 비언어적 표현도 중요하게 관찰해야 합니다.","","center","true"
"2021","사회복지학개론","3. 서구의 사회복지 관련법에 대한 설명으로 옳지 않은 것은?","1. 신구빈법은 열등처우의 원칙, 균일처우의 원칙, 작업장 수용의 원칙을 제시하였다.","2. 길버트법은 구빈을 조직화하여 구빈행정을 효율적으로 운영하기 위해 제정되었으며, 빈민의 원외구호를 인정하였다.","3. 스핀햄랜드법은 임금보조제도를 운영하여 구빈세 부담을 감소시켰다.","4. 나치블법은 빈민에게 노동을 강제함으로써 구빈에 소요되는 재정지출을 경감하기 위한 목적으로 제정되었다.","","3","③ 스핀햄랜드법(Speenhamland Act, 1795)은 저임금 노동자에게 빵 가격과 가족 수에 비례하여 임금을 보조해주는 임금보조제도(가족수당의 기원)를 도입했습니다. 그러나 고용주들이 이를 악용하여 임금을 삭감하고 부족분을 구빈세로 충당하게 함으로써, 결과적으로 구빈세 부담을 급격히 '증가'시키는 결과를 초래했습니다.

[오답 분석]
① 1834년 신구빈법(개정 구빈법)의 3대 원칙: 열등처우의 원칙, 전국적 통일의 원칙(균일처우), 작업장 활용의 원칙(원외구호 금지).
② 길버트법(1782)은 유급 사무원을 채용하여 구빈 행정의 효율화를 꾀하고, 노동 능력 있는 빈민에 대한 원외구호를 허용했습니다.
④ 나치블법(1723)은 작업장 테스트법이라고도 하며, 빈민의 노동을 강제하고 구빈 비용을 줄이기 위해 작업장 수용을 원칙으로 했습니다.","","center","true"
"2021","사회복지학개론","4. 윤리원칙 심사표(EPS)에서 제시하는 원칙으로 옳은 것은?","1. 자율성 및 자유의 원칙은 클라이언트의 비밀보장 원칙에 우선한다.","2. 최소 손실의 원칙은 평등과 불평등의 원칙에 우선한다.","3. 삶의 질의 원칙은 최소 손실의 원칙에 우선한다.","4. 진실과 완전공개의 원칙은 생명보호의 원칙에 우선한다.","","1","① 로웬버그와 돌고프(Loewenberg & Dolgoff)의 윤리원칙 심사표(EPS) 우선순위는 다음과 같습니다.
1. 생명보호의 원칙
2. 평등과 불평등의 원칙
3. 자율성과 자유의 원칙
4. 최소 손실의 원칙
5. 삶의 질의 원칙
6. 사생활 보호와 비밀보장의 원칙
7. 진실과 사실을 완전히 알릴 원칙(진실성)

따라서 '3. 자율성 및 자유의 원칙'은 '6. 비밀보장 원칙'보다 상위 원칙이므로 우선합니다.

[오답 분석]
② 최소 손실(4순위) < 평등(2순위)
③ 삶의 질(5순위) < 최소 손실(4순위)
④ 진실(7순위) < 생명보호(1순위)","","center","true"
"2021","사회복지학개론","5. 시장실패의 원인으로 옳은 것만을 모두 고르면?
ㄱ. 외부효과
ㄴ. 정보의 비대칭성
ㄷ. X－비효율성
ㄹ. 불완전 경쟁
ㅁ. 정부조직의 내부성","1. ㄱ, ㄷ","2. ㄴ, ㅁ","3. ㄱ, ㄴ, ㄹ","4. ㄱ, ㄴ, ㄷ, ㄹ","","3","시장실패(Market Failure)는 시장이 자원을 효율적으로 배분하지 못하는 상태를 말합니다.

ㄱ. 외부효과 (긍정적/부정적 외부효과)
ㄴ. 정보의 비대칭성 (역선택, 도덕적 해이)
ㄹ. 불완전 경쟁 (독점, 과점 등)
위 항목들은 대표적인 시장실패의 원인입니다.

[오답 분석]
ㄷ. X－비효율성: 독점적 지위를 가진 기업이나 정부 관료조직에서 경쟁 압력이 없어 발생하는 관리상의 비효율성을 말하며, 주로 '정부실패'의 원인으로 거론됩니다.
ㅁ. 정부조직의 내부성: 관료가 공익보다 부서의 이익이나 개인적 목표를 추구하는 현상으로, '정부실패'의 원인입니다.

따라서 옳은 것은 ㄱ, ㄴ, ㄹ입니다.","","center","true"
"2021","사회복지학개론","6. 사회복지정책의 발달 관련 이론에 대한 설명으로 옳지 않은 것은?","1. 이익집단론에 따르면 사회복지정책은 특정 이익집단의 이익에 부합하는 방향으로 수립되며, 이 과정에서 이익집단 간에 이해관계가 상충할 경우 국가의 중재자 역할을 강조한다.","2. 확산이론에 따르면 경제 수준이 낮은 국가가 선진 복지국가의 영향을 받아 사회보장을 확대한 경우, 이는 공간적 확산에 해당한다.","3. 음모이론에 따르면 사회복지정책의 주된 목적은 사회질서의 유지를 위한 사회통제에 있다.","4. 수렴이론에 따르면 산업기술이 발달할수록 사회복지가 발달하며, 한 국가의 복지수준은 해당 국가의 경제발전 수준에 따라 결정된다.","","2","② 확산이론(Diffusion Theory)에서 '경제 수준이 낮은 국가가 선진 복지국가의 영향을 받아 사회보장을 확대하는 경우'는 선진국의 제도를 모방하거나 도입하는 것으로, 이는 위계적 확산(Hierarchical Diffusion) 또는 전파에 해당합니다. 지문에서 말하는 '공간적 확산(Spatial Diffusion)'은 지리적으로 인접한 국가 간에 정책이 전파되는 것을 의미합니다. 선진국과 후진국 사이의 영향 관계는 지리적 인접성보다는 위계적 관계나 모방에 가까우므로 공간적 확산의 예시로 적절하지 않거나, 설명이 부정확합니다.

[오답 분석]
① 이익집단론: 다양한 이익집단 간의 경쟁과 타협의 산물로 정책을 보며, 국가는 중재자 역할을 합니다.
③ 음모이론: 사회복지 정책을 빈민을 규제하고 사회 질서를 유지하기 위한 사회 통제 수단으로 봅니다.
④ 수렴이론(산업화이론): 이념과 상관없이 산업화가 진행되면 사회복지 제도가 비슷하게 발달한다는 이론입니다.","","center","true"
"2021","사회복지학개론","7. 사회복지 전달체계 구축 시 고려해야 할 주요 원칙에 대한 설명으로 옳지 않은 것은?","1. 적절성이란 사회복지서비스의 양과 질 등이 클라이언트 문제해결에 충분할 만큼 제공되어야 하는 것이다.","2. 지속성이란 클라이언트의 문제나 욕구 해결과정에서 제공되는 서비스의 종류와 내용이 달라져야 하는 경우 신규 서비스가 지속적으로 제공되어야 하는 것이다.","3. 평등성이란 사회복지서비스는 클라이언트의 연령, 성별, 지역, 종교 등을 막론하고 차별 없이 제공되어야 하는 것이다.","4. 통합성이란 클라이언트의 욕구는 다양하므로 이러한 욕구충족을 위해 포괄적이고 다양한 서비스가 제공되어야 하는 것이다.","","4","④ 지문에서 설명하는 '클라이언트의 욕구는 다양하므로 이러한 욕구충족을 위해 포괄적이고 다양한 서비스가 제공되어야 하는 것'은 **포괄성(Comprehensiveness)**의 원칙에 대한 설명입니다. **통합성(Integration)**은 복합적인 문제를 가진 클라이언트에게 제공되는 다양한 서비스들이 서로 단절되지 않고 유기적으로 연계되어 제공되어야 함을 의미합니다.

[오답 분석]
① 적절성: 서비스의 양과 질이 욕구 충족에 충분해야 함.
② 지속성: 서비스가 중단 없이 계속 제공되어야 함.
③ 평등성: 성별, 연령, 소득, 지역 등에 따른 차별 없이 제공되어야 함.","","center","true"
"2021","사회복지학개론","8. 사회복지 정책결정 모형에 대한 설명으로 옳은 것만을 모두 고르면?
ㄱ. 점증모형은 기존의 정책에서 소폭의 수정․보완을 통해
정책을 결정하는 모형이다.
ㄴ. 쓰레기통모형은 정책결정이 일정한 규칙에 따라
이루어지는 것이 아니라 문제, 해결책, 선택 기회,
참여자 등의 4요소가 우연히 만나게 될 때 정책결정이
이루어진다고 보는 모형이다.
ㄷ. 혼합모형은 최적모형과 점증모형을절충하여 현실적으로
만족할만한 수준의 정책대안을 선택하는 모형이다.
ㄹ. 합리모형은 정책결정 체계의 성과를 최적화하기 위해
경제적 합리성과 직관, 창의력 등 초합리적 요소를
중요하게 간주하는 모형이다.","1. ㄱ, ㄴ","2. ㄷ, ㄹ","3. ㄱ, ㄴ, ㄷ","4. ㄴ, ㄷ, ㄹ","","1","ㄱ. 점증모형(Lindblom): 기존 정책을 토대로 소폭의 수정과 보완을 통해 결정. (옳음)
ㄴ. 쓰레기통모형(Cohen et al.): 문제, 해결책, 선택 기회, 참여자의 4가지 흐름이 우연히 만날 때 결정이 이루어짐. (옳음)

[오답 분석]
ㄷ. 혼합모형(Etzioni): 합리모형과 점증모형을 절충한 것입니다. 기본적인(거시적) 결정은 합리모형을, 세부적인 결정은 점증모형을 따릅니다. '최적모형'을 언급한 것은 틀린 설명입니다.
ㄹ. 합리모형: 인간의 이성과 합리성을 전제로 최선의 대안을 선택하는 모형입니다. 직관, 창의력 등 '초합리적 요소'를 중요하게 간주하는 것은 드로어(Dror)의 **최적모형(Optimal Model)**입니다.","","center","true"
"2021","사회복지학개론","9. 우리나라의 사회보험 중 급여 수급자나 가족이 재원을 부담하지 않는 것은?","1. 국민연금","2. 고용보험","3. 국민건강보험","4. 산업재해보상보험","","4","④ **산업재해보상보험(산재보험)**은 근로자의 업무상 재해를 보상하기 위한 제도로, 보험료 전액을 **사업주(고용주)**가 부담합니다. 따라서 수급자(근로자)는 보험료를 내지 않습니다.

[오답 분석]
① 국민연금: 사업장 가입자의 경우 근로자와 사용자가 절반씩 부담합니다.
② 고용보험: 실업급여 보험료는 근로자와 사용자가 절반씩 부담합니다.
③ 국민건강보험: 직장가입자의 경우 근로자와 사용자가 절반씩 부담합니다.","","center","true"
"2021","사회복지학개론","10. 사회복지실천의 주요 접근법에 대한 설명으로 옳지 않은 것은?","1. 인지행동 접근법은 클라이언트의 문제를 해결하기 위해 클라이언트의 인지 재구성에 초점을 두고 인지 및 행동의 수정을 위한 훈련을 강조한다.","2. 강점관점은 문제중심관점과 대치되는 시각으로, 클라이언트의 강점에는 클라이언트의 개인적 요인뿐만 아니라 사회적, 환경적 요인까지 포함된다.","3. 증거기반실천은 과학적 조사연구를 평가하고 응용하여 사회복지실천의 결과를 가장 좋게 할 수 있는 실천방법을 선택하여 적용하는 것을 의미한다.","4. 해결중심 접근법은 클라이언트의 문제에 초점을 맞춰 과거, 현재, 미래에 영향을 미치는 모든 요인들의 상호작용을 분석함으로써 문제를 해결한다.","","4","④ **해결중심 접근법(Solution-Focused Approach)**은 문제의 원인이나 과거를 깊이 파헤치지 않습니다. 대신 클라이언트가 가진 자원과 강점에 초점을 두고, '해결책'과 '미래'를 지향합니다. '문제의 원인', '과거 요인 분석'을 강조하는 것은 정신역동 모델이나 전통적인 진단주의적 접근에 해당합니다.

[오답 분석]
① 인지행동 모델(CBT): 왜곡된 인지를 재구조화하여 행동 변화를 유도합니다.
② 강점관점: 클라이언트의 병리보다 강점과 환경적 자원에 주목합니다.
③ 증거기반실천(EBP): 최선의 연구 증거, 전문가의 경험, 클라이언트의 가치를 통합하여 실천합니다.","","center","true"
