기출년도,과목,문제,보기1,보기2,보기3,보기4,보기5,정답,해설,이미지,이미지정렬,검증됨
"2025","사회복지학개론","1. 사회복지실천모델에 대한 설명으로 옳은 것은?","1. 생태체계모델은 클라이언트의 비합리적 신념의 수정을 강조한다.","2. 인지행동모델은 기적질문을 통해 클라이언트가 원하는 바를 파악한다.","3. 심리사회모델은 사회복지사의 신속한 개입과 초점적 문제해결을 강조한다.","4. 과제중심모델은 시간제한적 단기개입과 클라이언트의 자기결정권을 강조한다.","","4","정답 분석:
④ 과제중심모델은 1970년대 리드(Reid)와 엡스타인(Epstein)에 의해 개발된 모델로, 시간제한적인 단기 개입을 특징으로 하며 클라이언트가 동의한 구체적인 과제를 중심으로 문제 해결을 시도합니다. 이 과정에서 클라이언트의 자기결정권을 매우 중요하게 강조합니다.

오답 분석:
① 생태체계모델은 '환경 속의 인간(PIE)' 관점을 바탕으로 클라이언트와 환경 간의 상호작용에 초점을 둡니다. '비합리적 신념의 수정'을 강조하는 것은 인지행동모델(특히 엘리스의 REBT)의 특징입니다.
② 인지행동모델은 인지적 왜곡을 수정하여 행동 변화를 추구합니다. '기적질문'은 해결중심모델의 대표적인 기법입니다.
③ 심리사회모델은 클라이언트의 심리내적 과정과 사회적 환경을 모두 중시하며, 문제의 원인을 과거(역사)에서 찾는 경향이 있어 장기 개입이 이루어지는 경우가 많습니다. '신속한 개입과 초점적 문제해결'을 강조하는 것은 위기개입모델이나 과제중심모델의 특징입니다.","","center","true"
"2025","사회복지학개론","2. 프로그램 평가에 대한 설명으로 옳은 것은?","1. 비용편익분석은 프로그램의 성과를 화폐가치로 환산하는 것이다.","2. 성과평가는 프로그램이 계획대로 시행되고 있는지를 모니터링하는 것이다.","3. 형성평가는 프로그램이 종결된 후에 목표달성 여부를 평가하는 것이다.","4. 과정평가는 성과를 달성하기까지 비용이 얼마나 들었는지를 평가하는 것이다.","","1","정답 분석:
① 비용편익분석(Cost-Benefit Analysis)은 프로그램의 투입(비용)과 산출(성과)을 모두 화폐 단위로 환산하여, 투입된 비용 대비 경제적 이익이 얼마나 발생했는지를 비교·분석하는 방법입니다.

오답 분석:
② 프로그램이 계획대로 시행되고 있는지를 모니터링하는 것은 주로 '과정평가'의 영역에 해당합니다. 성과평가는 프로그램의 결과로 나타난 변화(목표 달성 정도)를 측정하는 것입니다.
③ 형성평가는 프로그램 운영 '도중'에 문제점을 발견하고 수정·보완하기 위해 실시하는 평가입니다. 프로그램이 '종결된 후'에 하는 평가는 총괄평가입니다.
④ 비용이 얼마나 들었는지를 평가하는 것뿐만 아니라, 과정평가는 프로그램 운영 경로, 절차, 서비스 전달 과정 등을 전반적으로 확인하는 것입니다. 설명된 내용은 비용 분석에 가까우며, 과정평가의 핵심 정의와는 거리가 있습니다. 문맥상 과정평가는 '운영 과정의 적절성'을 주로 봅니다.","","center","true"
"2025","사회복지학개론","3. 현물급여와 비교할 때 현금급여의 장점으로 옳지 않은 것은?","1. 급여 전달 과정에서 행정비용을 절감할 수 있다.","2. 수급자의 자기결정권을 보장할 수 있다.","3. 수급자의 급여 오남용을 예방할 수 있다.","4. 수급자가 급여를 소비할 때 낙인감이 적다.","","3","정답 분석:
③ 현금급여는 수급자에게 사용의 자율성을 부여하므로, 급여를 술이나 도박 등 본래 목적 이외의 용도로 사용할 '오남용'의 가능성이 존재합니다. 급여 오남용을 예방하고 정책 목표대로 소비되도록 통제하기 쉬운 것은 '현물급여'의 장점입니다.

오답 분석:
① 현금급여는 물품을 구매·보관·분배하는 절차가 필요 없으므로 현물급여에 비해 관리운영비(행정비용)가 절감됩니다.
② 현금급여는 수급자가 원하는 재화나 서비스를 직접 선택할 수 있어 소비자 주권(자기결정권)을 가장 잘 보장합니다.
④ 현금급여는 일반적인 화폐를 사용하므로, 전용 쿠폰이나 물품을 사용하는 현물급여에 비해 수급자가 느끼는 사회적 낙인(stigma)감이 적습니다.","","center","true"
"2025","사회복지학개론","4. ‘사회복지(social welfare)’와 ‘사회사업(social work)’에 대한 설명으로 옳지 않은 것은?","1. 사회복지의 대상은 전체적이고, 사회사업의 대상은 개별적이다.","2. 사회복지는 거시적 방법을, 사회사업은 미시적 방법을 추구한다.","3. 사회복지는 실천적 측면을, 사회사업은 이념적 측면을 강조한다.","4. 사회복지는 바람직한 사회 건설에, 사회사업은 바람직한 인간화에 초점을 둔다.","","3","정답 분석:
③ 일반적으로 '사회복지'는 광의의 개념으로 이상적, 제도적, 정책적 측면을 강조하는 반면, '사회사업'은 미시적이고 전문적인 실천 활동, 기술적 측면을 강조합니다. 따라서 보기는 '사회복지는 이념적(제도적) 측면을, 사회사업은 실천적 측면을 강조한다'로 기술되어야 옳습니다. (보기는 반대로 서술됨)

오답 분석:
① 사회복지는 전 국민을 대상으로 하는 보편적 성격이 강하고, 사회사업은 개별 클라이언트나 요보호 대상자를 중심으로 합니다.
② 사회복지는 정책, 제도 등 거시적 방법을, 사회사업은 개별적 개입 등 미시적 방법을 주로 사용합니다.
④ 사회복지는 이상적인 사회 건설을 목표로 하고, 사회사업은 개인의 회복이나 인간다운 삶(인간화)에 초점을 둡니다.","","center","true"
"2025","사회복지학개론","5. 로마니신(Romanyshyn)이 제시한 산업화 이후 사회복지의 변화 방향으로 옳은 것은?","1. 보편성에서 특수성으로","2. 공공지원에서 민간지원으로","3. 최고 수준에서 적정 수준으로","4. 개인의 변화에서 사회개혁으로","","4","정답 분석:
④ 로마니신은 사회복지가 산업화 이후 '잔여적 개념에서 제도적 개념으로', '자선에서 시민의 권리로', '특수성에서 보편성으로', '최저 수준에서 적정 수준으로', '개인의 변화에서 사회개혁으로', '민간 지원에서 공공 지원으로' 변화해 간다고 주장했습니다.

오답 분석:
① 특수성(선별주의)에서 보편성(보편주의)으로의 변화가 맞습니다.
② 민간(자선) 지원에서 공공(국가) 지원으로의 변화가 맞습니다.
③ 최저 수준(minimum)에서 적정 수준(optimum)으로의 변화가 맞습니다.","","center","true"
"2025","사회복지학개론","6. 서구 사회복지 역사에 대한 설명으로 옳지 않은 것은?","1. 베버리지는 국가가 제공하는 사회보장의 목표를 국민최저선 달성에 두었다.","2. 인보관운동은 박애정신을 실천하는 빈민계층이 주도하여 빈민의 생활 개선과 교육을 위해 노력했다.","3. 비스마르크는 19세기 독일에서 사회주의가 확산되는 상황을 막기 위한 회유책으로 사회보험을 도입했다.","4. 자선조직협회는 ‘자격 있는 빈민(deserving poor)’과 ‘자격 없는 빈민(undeserving poor)’을 엄격하게 구분했다.","","2","정답 분석:
② 인보관 운동(Settlement House Movement)은 19세기 말 대학생, 성직자 등 중류층 이상의 지식인들이 빈민 지역에 거주(settle)하면서 빈민들과 함께 생활하고 사회개혁을 시도한 운동입니다. '빈민계층이 주도'한 것이 아닙니다.

오답 분석:
① 베버리지 보고서는 빈곤, 질병, 무지, 불결, 나태의 5대 악을 제거하고 모든 국민에게 '국민최저선(National Minimum)'을 보장하는 것을 목표로 했습니다.
③ 비스마르크는 노동자 계급의 지지를 얻고 사회주의의 확산을 막기 위한 '당근과 채찍' 정책의 일환으로 세계 최초의 사회보험(질병보험, 산재보험 등)을 도입했습니다.
④ 자선조직협회(COS)는 구호의 중복과 누락을 방지하기 위해 빈민을 '자격 있는 빈민'과 '자격 없는 빈민'으로 엄격히 구분하여 도덕적 교화를 강조했습니다.","","center","true"
"2025","사회복지학개론","7. 사회복지 정책과정을 순서대로 바르게 나열한 것은?
(가) 정책결정   (다) 정책집행
(나) 정책평가   (라) 정책의제 형성","1. (가) → (나) → (라) → (다)","2. (나) → (가) → (다) → (라)","3. (라) → (가) → (나) → (다)","4. (라) → (가) → (다) → (나)","","4","정답 분석:
④ 일반적인 사회복지 정책과정의 순서는 다음과 같습니다.
1. **정책의제 형성 (라)**: 사회문제가 공적인 이슈로 부각되어 논의 대상이 됨.
2. **정책결정 (가)**: 대안들 중 최적의 안을 선택하여 정책으로 확정함.
3. **정책집행 (다)**: 확정된 정책을 구체적인 서비스로 전달함.
4. **정책평가 (나)**: 집행된 정책의 효과와 효율성을 분석함.

따라서 순서는 (라) → (가) → (다) → (나) 입니다.","","center","true"
"2025","사회복지학개론","8. 다음 설명에 해당하는 공공부조의 원칙은?
공공부조 급여를 받고자 하는 사람은 그 전제조건으로 가능한 
모든 자원을 동원하여 생활 유지에 최대한 노력해야 한다. 
그러한 노력에도 불구하고 생활을 유지하기 어려울 경우, 제도를 
통해 부족한 부분을 지원한다.","1. 보충성의 원칙","2. 국가책임의 원칙","3. 최저생활의 원칙","4. 타 급여 우선의 원칙","","1","정답 분석:
① **보충성의 원칙(Principle of Supplementarity)**은 자신의 자산이나 근로능력, 가족의 부양 등 활용 가능한 모든 자원을 먼저 활용하고, 그것으로도 최저생활을 유지할 수 없을 때 부족한 부분만을 국가가 지원한다는 원칙입니다.

오답 분석:
② 국가책임의 원칙: 생활이 어려운 국민을 보호하는 것은 국가의 책임이라는 헌법적 원리입니다.
③ 최저생활의 원칙: 공공부조 급여는 건강하고 문화적인 최저생활을 유지할 수 있는 수준이어야 한다는 원칙입니다.
④ 타 급여 우선의 원칙: 공공부조는 최후의 안전망이므로, 사회보험 등 다른 법령에 의한 지원이 우선 적용되어야 한다는 원칙입니다. (보충성의 원칙과 맥락은 통하지만, 지문의 '개인의 노력 부족분 지원' 설명은 보충성이 더 적합합니다.)","","center","true"
"2025","사회복지학개론","9. 아동 및 청소년 관련 법률상 대상자의 연령 기준이 바르게 짝지어지지 않은 것은?","1. 「소년법」상 소년 － 19세 미만","2. 「아동복지법」상 아동 － 18세 미만","3. 「청소년 기본법」상 청소년 － 9세 이상 24세 이하","4. 「청소년 보호법」상 청소년 － 12세 이상 24세 이하","","4","정답 분석:
④ 「청소년 보호법」상 '청소년'은 ""만 19세 미만인 사람""을 말합니다. (다만, 만 19세가 되는 해의 1월 1일을 맞이한 사람은 제외합니다.) 보기의 '12세 이상 24세 이하'는 틀린 설명입니다.

오답 분석:
① 「소년법」상 소년은 '19세 미만'의 자입니다.
② 「아동복지법」상 아동은 '18세 미만'의 자입니다.
③ 「청소년 기본법」상 청소년은 '9세 이상 24세 이하'의 자입니다.","","center","true"
"2025","사회복지학개론","10. 로스만(Rothman)의 지역사회개발모델에 대한 설명으로 옳은 것만을 모두 고르면?
ㄱ. 옹호자로서 사회복지사의 역할을 강조한다.
ㄴ. 지역사회의 자발성과 지도력 강화를 강조한다.
ㄷ. 과정보다는 과업성취 중심의 목표를 추구한다.
ㄹ. 지역주민의 자조와 광범위한 참여를 장려한다.","1. ㄱ, ㄴ","2. ㄱ, ㄷ","3. ㄴ, ㄹ","4. ㄷ, ㄹ","","3","정답 분석:
로스만의 세 가지 모델 중 **지역사회개발모델(Locality Development Model)**은 지역사회 주민의 자발적 참여와 역량 강화를 중시합니다.
ㄴ. 지역사회의 자발성과 지도력 강화를 강조합니다. (O)
ㄹ. 지역주민의 자조와 광범위한 참여를 장려합니다. (O)

오답 분석:
ㄱ. 옹호자로서의 역할은 '사회행동모델(Social Action Model)'에서 강조됩니다. 지역사회개발모델에서 사회복지사는 조력자, 격려자, 조정자의 역할을 주로 합니다.
ㄷ. 과정보다는 과업성취 중심의 목표를 추구하는 것은 '사회계획모델(Social Planning Model)'입니다. 지역사회개발모델은 문제 해결의 '과정' 자체를 중시합니다.","","center","true"
