기출년도,과목,문제,보기1,보기2,보기3,보기4,보기5,정답,해설,이미지,이미지정렬,검증됨
"2022","사회복지학개론","1. 로마니신(Romanyshyn)이 제시한 사회복지 변화 방향으로 옳지 않은 것은?","1. 보편성(universal)에서 특수성(special)으로","2. 자선(charity)에서 시민의 권리(citizen right)로","3. 민간(voluntary) 지원에서 공공(public) 지원으로","4. 잔여적(residual) 복지에서 제도적(institutional) 복지로","","1","로마니신(Romanyshyn)은 사회복지의 발달 방향을 다음과 같이 제시하였습니다.
- 잔여적(Residual) → 제도적(Institutional)
- 자선(Charity) → 시민의 권리(Citizen right)
- 특수성(Special) → 보편성(Universal)
- 민간(Voluntary) 지원 → 공공(Public) 지원
- 최저 조건 → 최적 조건

① 보편성(universal)에서 특수성(special)으로는 발달 방향을 역행하여 기술한 것입니다. '특수성(선별주의)에서 보편성'으로 변화하는 것이 옳습니다.","","center","true"
"2022","사회복지학개론","2. 「국민기초생활 보장법」상 보장기관이 급여의 결정 및 실시 등에 사용하기 위하여 산출한 개별가구의 소득평가액과 재산의 소득환산액을 합산한 금액에 해당하는 용어는?","1. 소득인정액","2. 최저생계비","3. 최저보장수준","4. 기준 중위소득","","1","「국민기초생활 보장법」 제2조(정의)에 따르면, '소득인정액'이라 함은 보장기관이 급여의 결정 및 실시 등에 사용하기 위하여 산출한 개별가구의 소득평가액과 재산의 소득환산액을 합산한 금액을 말합니다.

[오답 분석]
② 최저생계비: 국민이 건강하고 문화적인 생활을 유지하기 위하여 소요되는 최소한의 비용
③ 최저보장수준: 국민기초생활보장법에 따라 급여의 종류별로 공표하는 금액
④ 기준 중위소득: 보건복지부장관이 고시하는 국민 가구소득의 중위값","","center","true"
"2022","사회복지학개론","3. 다음의 설명은 카두신(Kadushin)이 분류한 아동복지서비스 중 어디에 해당하는가?
○ 사회가 부모의 역할을 일부분 대행함으로써 부모 역할이 
충족되도록 돕는 서비스
○ 부모의 실업, 질병, 장애 등의 문제에 대처하기 위한 
서비스
○ 보육서비스, 가정봉사원 파견 서비스","1. 지지적 서비스(supportive service)","2. 보충적 서비스(supplementary service)","3. 대리적 서비스(substitute service)","4. 기능적 서비스(functional service)","","2","제시된 내용은 카두신(Kadushin)의 아동복지 서비스 유형 중 '보충적 서비스(supplementary service)'에 해당합니다. 보충적 서비스는 부모가 존재하지만 부모의 역할을 수행하는 데 있어 일시적이거나 부분적인 어려움(실업, 질병 등)이 있을 때, 사회가 그 역할을 보충해 주는 서비스를 말합니다. 대표적인 예로 보육(어린이집), 가정봉사원 파견 등이 있습니다.

[오답 분석]
① 지지적 서비스: 부모와 아동이 함께 거주하며, 부모의 역할을 잘 수행할 수 있도록 상담 등을 통해 지원(가족상담 등).
③ 대리적 서비스: 부모가 없거나 양육 능력을 완전히 상실했을 때 제3자가 부모 역할을 대신함(입양, 가정위탁, 시설보호).
④ 기능적 서비스: 카두신의 3분류(지지, 보충, 대리)에 포함되지 않는 용어입니다.","","center","true"
"2022","사회복지학개론","4. 「노인복지법」상 노인주거복지시설로 옳지 않은 것은?","1. 양로시설","2. 노인복지주택","3. 노인공동생활가정","4. 노인요양공동생활가정","","4","「노인복지법」 제31조(노인복지시설의 종류) 및 제32조(노인주거복지시설), 제34조(노인의료복지시설)에 따른 분류는 다음과 같습니다.

- 노인주거복지시설: 양로시설, 노인공동생활가정, 노인복지주택
- 노인의료복지시설: 노인요양시설, 노인요양공동생활가정

따라서 ④ '노인요양공동생활가정'은 주거복지시설이 아니라 '노인의료복지시설'에 해당합니다.","","center","true"
"2022","사회복지학개론","5. 밀착가족(enmeshed family)과 유리가족(disengaged family)에 대한 설명으로 옳지 않은 것은?","1. 밀착가족은 가족성원 간 상호작용이 부족하다.","2. 밀착가족은 가족성원의 자율성이 보장되지 않는다.","3. 유리가족은 가족성원 간 충성심이 부족하다.","4. 유리가족은 가족으로서의 보호 기능을 수행하기 어렵다.","","1","미누친(Minuchin)의 구조적 가족치료 모델에 대한 설명입니다.

① 밀착가족(enmeshed family)은 가족 성원 간의 경계선이 지나치게 모호하여 상호작용이 과도하게 일어나는 가족을 의미합니다. 따라서 '상호작용이 부족하다'는 설명은 틀렸으며, 오히려 지나친 간섭과 관여가 특징입니다.

[오답 분석]
② 밀착가족은 상호 의존성이 높아 개별 구성원의 자율성이 보장되기 어렵습니다.
③ 유리가족(disengaged family)은 경계선이 지나치게 경직되어 있어 가족 간의 유대감이나 충성심이 부족합니다.
④ 유리가족은 서로에 대한 관심과 지원이 부족하여 가족으로서의 보호 기능을 수행하기 어렵습니다.","","center","true"
"2022","사회복지학개론","6. 체계이론과 관련된 용어에 대한 설명으로 옳지 않은 것은?","1. 홀론(holon)은 부분임과 동시에 전체라는 체계 속성을 의미한다.","2. 상호성(reciprocity)은 체계 내 한 부분의 변화는 다른 부분에 영향을 미치고 전체체계에도 파급 효과가 있음을 의미한다.","3. 항상성(homeostasis)은 체계 내외부에서 발생한 변화로 균형이 깨졌을 때 회복하고자 하는 경향을 의미한다.","4. 엔트로피(entropy)는 체계 외부로부터 에너지가 유입되어 체계 내부에 유용하지 않은 에너지가 감소하는 것을 의미한다.","","4","④ 엔트로피(entropy)는 체계가 질서에서 무질서로, 분화된 상태에서 미분화된 상태로 가는 경향을 말하며, 에너지가 고갈되어 가는 상태를 의미합니다. 설명에서 '외부로부터 에너지가 유입되어 체계 내부에 유용하지 않은 에너지가 감소하는 것'은 **역엔트로피(네겐트로피, negentropy)**에 대한 설명입니다.

[오답 분석]
① 홀론(holon): 체계는 상위 체계의 부분이면서 동시에 하위 체계의 전체가 되는 속성을 가집니다.
② 상호성(reciprocity): 체계의 한 부분의 변화가 전체에 영향을 미치는 속성입니다.
③ 항상성(homeostasis): 균형 상태를 유지하려는 체계의 속성입니다.","","center","true"
"2022","사회복지학개론","7. 사회복지사의 역할과 활동 사례가 바르게 짝지어지지 않은 것은?","1. 옹호자(advocate) — 불이익을 당하고 있는 중증장애인의 권익향상을 위해 정책 변화를 도모하였다.","2. 행동가(activist) — 한부모가족의 청소년이 지역사회 내 방과후 서비스를 이용할 수 있도록 기관을 연계해 주었다.","3. 중재자(mediator) — 이혼 조정 중인 부모의 자녀 양육권 갈등 상황에서 중립적 위치를 유지하며 합의를 이끌어냈다.","4. 교육가(educator) — 손자녀를 양육하는 조부모를 대상으로 양육기술 교육을 진행하였다.","","2","②번 사례에서 한부모가족 청소년이 서비스를 이용할 수 있도록 기관을 '연계'해 주는 역할은 **중개자(broker)**의 역할에 해당합니다. 행동가(activist)는 사회적 불의를 시정하거나 정책의 변화를 이끌어내기 위해 집단적인 행동을 조직하고 주도하는 역할을 말합니다.

[오답 분석]
① 옹호자(advocate): 클라이언트의 권리를 대변하고 정책 변화를 도모하는 역할.
③ 중재자(mediator): 갈등 상황에서 중립적 입장에서 합의를 이끌어내는 역할.
④ 교육가(educator): 필요한 지식이나 기술을 가르치는 역할.","","center","true"
"2022","사회복지학개론","8. 「청소년복지 지원법」상 청소년복지시설 중 학습․정서․행동상의 장애가 있는 청소년을 대상으로 정상적인 성장과 생활을 할 수 있도록 해당 청소년에게 적합한 치료․교육 및 재활을 종합적으로 지원하는 거주형 시설은?","1. 청소년쉼터","2. 청소년자립지원관","3. 청소년치료재활센터","4. 청소년회복지원시설","","3","「청소년복지 지원법」 제31조(청소년복지시설의 종류)에 따르면, 학습·정서·행동상의 장애가 있는 청소년을 대상으로 치료·교육 및 재활을 종합적으로 지원하는 거주형 시설은 **청소년치료재활센터**입니다.

[오답 분석]
① 청소년쉼터: 가출 청소년에 대한 일시 보호 및 선도
② 청소년자립지원관: 청소년 쉼터 퇴소 청소년 등에게 자립 지원
④ 청소년회복지원시설: 소년법에 따른 감호 위탁 처분을 받은 청소년 보호 및 상담","","center","true"
"2022","사회복지학개론","9. 우리나라 아동복지 제도에 대한 설명으로 옳지 않은 것은?","1. 보호아동 자립지원 — 아동복지시설 등에서 퇴소하는 아동의 자립 준비 및 안정적인 자립 기반 조성","2. 디딤씨앗통장 — 아동과 국가의 매칭펀드를 통해 저소득층 아동의 사회진출 시 필요한 자립자금 마련 지원","3. 드림스타트 － 취약계층의 아동에게 건강, 기초학습, 사회성 함양, 부모 양육 지도 등 맞춤형 통합서비스 제공","4. 아동수당 — 아동 양육에 따른 경제적 부담을 경감하기 위해 만 18세 미만의 아동에게 정기적으로 현금 지급","","4","④ 아동수당은 아동 양육에 따른 경제적 부담을 경감하기 위해 지급하는 제도이나, 그 대상은 '만 18세 미만'이 아니라 **'만 8세 미만'**의 아동입니다. (2022년 시험 당시 기준, 이후 법 개정으로 연령이 상향될 수 있으나 시험 출제 당시 법령 기준으로는 만 8세 미만이 맞습니다.)

[오답 분석]
① 보호아동 자립지원: 보호종료아동을 위한 자립수당 등 지원.
② 디딤씨앗통장(아동발달지원계좌): 저소득층 아동의 자산 형성 지원.
③ 드림스타트: 취약계층 아동에게 맞춤형 통합서비스 제공.","","center","true"
"2022","사회복지학개론","10. 고려시대의 구빈제도로 옳지 않은 것은?","1. 사창(社倉)","2. 제위보(濟危寶)","3. 혜민국(惠民局)","4. 흑창(黑倉)","","1","① 사창(社倉)은 조선시대의 구빈제도로, 양반 중심의 자치적인 향촌 조직에서 곡식을 대여해주던 제도입니다. 고려시대에는 흑창, 의창, 상평창 등이 있었으며 사창은 조선시대에 처음 실시되었습니다.

[오답 분석]
② 제위보(濟危寶): 고려 광종 때 설치된 기금 운용 빈민 구제 기관.
③ 혜민국(惠民局): 고려 예종 때 설치된 서민 의료 기관.
④ 흑창(黑倉): 고려 태조 때 설치된 진대 기관(빈민 구제용 곡식 대여).","","center","true"
